name	id	definition	comment	broad	exact	related
anterior lateral line neuromast support cell	CL_2000036	Any neuromast support cell that is part of a anterior lateral line.				
posterior lateral line neuromast hair cell	CL_2000037	Any neuromast hair cell that is part of a posterior lateral line.				
posterior lateral line neuromast mantle cell	CL_2000038	Any neuromast mantle cell that is part of a posterior lateral line.				
posterior lateral line neuromast support cell	CL_2000039	Any neuromast support cell that is part of a posterior lateral line.				
bladder microvascular endothelial cell	CL_2000040	Any microvascular endothelial cell that is part of a urinary bladder.				
dermis microvascular lymphatic vessel endothelial cell	CL_2000041	Any dermis lymphatic vessel endothelial cell that is part of a microvascular endothelium.				
embryonic fibroblast	CL_2000042	Any fibroblast that is part of a embryo.				
brain pericyte	CL_2000043	Any pericyte cell that is part of a brain.				
brain microvascular endothelial cell	CL_2000044	Any microvascular endothelial cell that is part of a brain.				
foreskin melanocyte	CL_2000045	Any melanocyte that is part of a prepuce of penis.				
ventricular cardiac muscle cell	CL_2000046	Any cardiac muscle cell that is part of a cardiac ventricle.				
brainstem motor neuron	CL_2000047	Any motor neuron that is part of a brainstem.				
anterior horn motor neuron	CL_2000048	An lower motor neuron whose soma is located in one of the ventral horns of the spinal cord and innervates skeletal muscles of the trunk or head.	Yang & Connolly (DOI:10.1016/B978-0-323-37101-8.00140-5) classify these as alpha motor neurons.  Consider reflecting this if more references support this.		anterior horn cell|ventral horn of spinal cord spinal cord motor neuron	
primary motor cortex pyramidal cell	CL_2000049	Any pyramidal cell that is part of a primary motor cortex.	http://www.ncbi.nlm.nih.gov/pubmed/12524689			
obsolete retina retinal ganglion cell	CL_2000050	Any retinal ganglion cell that is part of a retina.	http://www.ncbi.nlm.nih.gov/pubmed/2889210			
splenic fibroblast	CL_2000051	Any fibroblast that is part of a spleen.				
umbilical artery endothelial cell	CL_2000052	Any endothelial cell of artery that is part of a umbilical cord.	http://www.sciencellonline.com/site/productInformation.php?keyword=8010			
splenic endothelial cell	CL_2000053	Any endothelial cell that is part of a spleen.	http://www.sciencellonline.com/site/productInformation.php?keyword=5500			
hepatic pit cell	CL_2000054	A large, granular, liver specific natural killer cell that adheres to the endothelial cells of the hepatic sinusoid.	Pit cells are named for the presence of large cytoplasmic granules that resemble pits (pips) of fruit.			
liver dendritic cell	CL_2000055	Any dendritic cell that is part of a liver.	http://www.jleukbio.org/content/66/2/322.abstract		hepatic dendritic cell	
Meynert cell	CL_2000056	Any pyramidal cell that is part of a regional part of cerebral cortex.				
femural osteoblast	CL_2000057	Any osteoblast that is part of a femur.	http://www.sciencellonline.com/site/productInformation.php?keyword=4610			
calvarial osteoblast	CL_2000058	Any osteoblast that is part of a skull.	http://www.sciencellonline.com/site/productInformation.php?keyword=4600			
prostate gland microvascular endothelial cell	CL_2000059	Any microvascular endothelial cell that is part of a prostate gland.	http://www.sciencellonline.com/site/productInformation.php?keyword=4400			
placental villous trophoblast	CL_2000060	A trophoblast of placental villi.  These cells fuse to form synctial  trophoplast - the placental side of the interface between the placenta and maternal blood sinusoids in the decidua.	http://www.sciencellonline.com/site/productInformation.php?keyword=7120		villous cytotrophoblast|vCTB	
placental amniotic mesenchymal stromal cell	CL_2000061	Any mesenchymal stem cell that is part of a placenta.	http://www.sciencellonline.com/site/productInformation.php?keyword=7140			
placental villus capillary endothelial cell	CL_2000062	Any capillary endothelial cell that is part of a placenta.	http://www.ncbi.nlm.nih.gov/books/NBK53245/			
ovarian fibroblast	CL_2000063	Any fibroblast that is part of a female gonad.	http://www.sciencellonline.com/site/productInformation.php?keyword=7330			
ovarian surface epithelial cell	CL_2000064	Any epithelial cell that is part of a female gonad.	http://www.sciencellonline.com/site/productInformation.php?keyword=7310			
ovarian microvascular endothelial cell	CL_2000065	Any microvascular endothelial cell that is part of a female urethra.	http://www.sciencellonline.com/site/productInformation.php?keyword=7300			
cardiac ventricle fibroblast	CL_2000066	Any fibroblast that is part of a cardiac ventricle.	http://www.sciencellonline.com/site/productInformation.php?keyword=6310			
cardiac atrium fibroblast	CL_2000067	Any fibroblast that is part of a cardiac atrium.	http://www.sciencellonline.com/site/productInformation.php?keyword=6320			
pericardium fibroblast	CL_2000068	Any fibroblast that is part of a pericardium.	http://www.sciencellonline.com/site/productInformation.php?keyword=6430			
gallbladder fibroblast	CL_2000069	Any fibroblast that is part of a gallbladder.	http://www.sciencellonline.com/site/productInformation.php?keyword=5430			
optic choroid fibroblast	CL_2000070	Any fibroblast that is part of a optic choroid.	http://www.sciencellonline.com/site/productInformation.php?keyword=6620			
mammary microvascular endothelial cell	CL_2000071	Any microvascular endothelial cell that is part of a breast.	http://www.sciencellonline.com/site/productInformation.php?keyword=7600			
adipose microvascular endothelial cell	CL_2000072	Any microvascular endothelial cell that is part of a adipose tissue.	http://www.sciencellonline.com/site/productInformation.php?keyword=7200			
migratory cardiac neural crest cell	CL_2000073	Any migratory neural crest cell that is part of a cardiac neural crest.				
splenocyte	CL_2000074	Any leukocyte that is part of a spleen.	Splenocytes is a vague term that refers to any one of the different white blood cell types in the spleen. This name is seen many references as such and is not explained further, necessitating a need for this terminology.			
anterior visceral endoderm cell	CL_2000075	Any endodermal cell that is part of a anterior visceral endoderm.				
hindlimb stylopod vein endothelial cell	CL_2000076	Any vein endothelial cell that is part of a hindlimb stylopod.				
skeletal muscle tissue of pectoralis major striated muscle cell	CL_2000077	Any striated muscle cell that is part of a skeletal muscle tissue of pectoralis major.				
placental pericyte	CL_2000078	Any pericyte cell that is part of a placenta.				
mesenchymal stem cell of femoral bone marrow	CL_2000079	Any mesenchymal stem cell of the bone marrow that is part of a femur.				
mesenchymal stem cell of abdominal adipose	CL_2000080	Any mesenchymal stem cell of adipose that is part of a abdomen.				
melanocyte of skin of face	CL_2000081	Any melanocyte of skin that is part of a skin of face.				
melanocyte of foreskin	CL_2000082	Any melanocyte of skin that is part of a skin of prepuce of penis.				
hair follicle dermal papilla cell of scalp	CL_2000083	Any hair follicle dermal papilla cell that is part of a scalp.				
conjunctiva goblet cell	CL_2000084	Any goblet cell that is part of a conjunctiva.				
mononuclear cell of umbilical cord	CL_2000085	Any mononuclear cell that is part of a umbilical cord.				
neocortex basket cell	CL_2000086	Any basket cell that is part of a neocortex.				
dentate gyrus of hippocampal formation basket cell	CL_2000087	Any basket cell that is part of a dentate gyrus of hippocampal formation.				
Ammon's horn basket cell	CL_2000088	Any basket cell that is part of a Ammon's horn.				
dentate gyrus of hippocampal formation granule cell	CL_2000089	The principal cell type of the dentate gyrus.	The granule cell has a characteristic cone-shaped tree of spiny apical dendrites.			
dentate gyrus of hippocampal formation stellate cell	CL_2000090	Any stellate cell that is part of a dentate gyrus of hippocampal formation.				
endometrial microvascular endothelial cells	CL_2000091	Any microvascular endothelial cell that is part of a endometrial blood vessel.				
hair follicular keratinocyte	CL_2000092	Any keratinocyte that is part of a hair follicle.				
bronchus fibroblast of lung	CL_2000093	Any fibroblast of lung that is part of a bronchus.				
nasal cavity respiratory epithelium epithelial cell of viscerocranial mucosa	CL_2000094	Any epithelial cell of viscerocranial mucosa that is part of a nasal cavity respiratory epithelium.				
cord blood hematopoietic stem cell	CL_2000095	Any hematopoietic stem cell that is part of a umbilical cord blood.				
reticular layer of dermis fibroblast	CL_2000096	Any fibroblast that is part of a reticular layer of dermis.				
midbrain dopaminergic neuron	CL_2000097	Any dopaminergic neuron that is part of a midbrain.				
ciliated epithelial cell of esophagus	CL_3000000	A ciliated epithelial cell of the esophagus.				
Hofbauer cell	CL_3000001	Oval eosinophilic histiocytes with granules and vacuoles found in placenta, which are of mesenchymal origin, in mesoderm of the chorionic villus, particularly numerous in early pregnancy.				
sympathetic noradrenergic neuron	CL_3000002	Sympathetic noradrenergic neuron.				
sympathetic cholinergic neuron	CL_3000003	Sympathetic cholinergic neuron.				
peripheral sensory neuron	CL_3000004	Peripheral sensory neuron.				
fibroblast of breast	CL_4006000	A fibroblast that is part of the breast.			breast fibroblast	
fibroblast of skin of scalp	CL_4006001	A fibroblast that is part of the skin of scalp.			skin of scalp fibroblast	
beta motor neuron	CL_4023000	A motor neuron that innervates both intrafusal and extrafusal muscle fibers. Low abundancy. They control both muscle contraction and responsiveness of the sensory feedback from muscle spindles.				
static beta motor neuron	CL_4023001	A beta motor neuron that innervates nuclear chain fibers.				
dynamic beta motor neuron	CL_4023002	A beta motor neuron that innervates the nuclear bag fibers of muscle spindles.				
nuclear chain fiber	CL_4023003	A type of intrafusal muscle fiber that has nuclei arranged in a linear row. Unlike nuclear bag fibers, the equatorial region of these fibers (in the centre of the spindle) is not expanded. These fibers are responsible for the detection of changes in muscle length. They are innervated by static gamma motor neurons and are principally associated with type II sensory fibers.				
nuclear bag fiber	CL_4023004	A type of intrafusal muscle fiber that lies in the center of a muscle spindle. Nuclei are clustered centrally and give the equatorial region a swollen appearance. They are associated with associated with dynamic gamma motor neurons, and the stretching of the equatorial region of the nuclear bag fibers results in an increase in the firing rate of type Ia sensory fibers.				
